target,source,weight
A,JawOpen,0.95
A,MouthFunnel,0.16
I,MouthSmileLeft,0.42
I,MouthSmileRight,0.42
I,MouthStretchLeft,0.3
I,MouthStretchRight,0.3
U,MouthPucker,0.84
U,MouthFunnel,0.42
E,JawOpen,0.44
E,MouthSmileLeft,0.3
E,MouthSmileRight,0.3
E,MouthStretchLeft,0.28
E,MouthStretchRight,0.28
O,JawOpen,0.46
O,MouthFunnel,0.74
O,MouthPucker,0.24
Blink,EyeBlinkLeft,1
Blink,EyeBlinkRight,1
Blink_L,EyeBlinkLeft,1
Blink_R,EyeBlinkRight,1
Joy,MouthSmileLeft,0.44
Joy,MouthSmileRight,0.44
Joy,CheekSquintLeft,0.26
Joy,CheekSquintRight,0.26
Joy,EyeSquintLeft,0.24
Joy,EyeSquintRight,0.24
Angry,BrowDownLeft,0.38
Angry,BrowDownRight,0.38
Angry,NoseSneerLeft,0.28
Angry,NoseSneerRight,0.28
Angry,MouthFrownLeft,0.2
Angry,MouthFrownRight,0.2
Sorrow,BrowInnerUp,0.46
Sorrow,MouthFrownLeft,0.36
Sorrow,MouthFrownRight,0.36
Fun,MouthSmileLeft,0.46
Fun,MouthSmileRight,0.46
Fun,CheekSquintLeft,0.24
Fun,CheekSquintRight,0.24
Surprised,BrowInnerUp,0.38
Surprised,BrowOuterUpLeft,0.3
Surprised,BrowOuterUpRight,0.3
Surprised,EyeWideLeft,0.36
Surprised,EyeWideRight,0.36
Surprised,JawOpen,0.48
